Episode,Turn,User Query,Bot Response,Expected Response,Reward,Done
1,1,how to reset password?,"Our business hours are 9 AM to 5 PM, Monday to Friday.",You can reset your password using the link we sent to your email.,-1,False
1,2,what's up?,"Sure, I can help you cancel your order.","I'm just a bot, but I’m here to help you!",-1,False
1,3,order not arrived,You can reset your password using the link we sent to your email.,I'm sorry to hear that. Let me check the tracking info for you.,-1,True
2,1,sup bot,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,False
2,2,hello,"I'm just a bot, but I’m here to help you!",Hello! How can I help you today?,-1,False
2,3,see you,"Sorry, I didn’t quite get that. Could you please rephrase?",You're welcome! Have a great day!,-1,True
3,1,hey,"Yes, we offer a 30-day refund policy for eligible returns.",Hello! How can I help you today?,-1,False
3,2,good morning,Hello! How can I help you today?,Hello! How can I help you today?,1,False
3,3,what's your refund policy?,I'm sorry to hear that. Let me check the tracking info for you.,"Yes, we offer a 30-day refund policy for eligible returns.",-1,True
4,1,forgot my password,"I'm just a bot, but I’m here to help you!",You can reset your password using the link we sent to your email.,-1,False
4,2,hi,You're welcome! Have a great day!,Hello! How can I help you today?,-1,False
4,3,yo!,"Our business hours are 9 AM to 5 PM, Monday to Friday.","I'm just a bot, but I’m here to help you!",-1,True
5,1,order is delayed,Hello! How can I help you today?,I'm sorry to hear that. Let me check the tracking info for you.,-1,False
5,2,stop my purchase,"Our business hours are 9 AM to 5 PM, Monday to Friday.","Sure, I can help you cancel your order.",-1,False
5,3,thank you,"Sorry, I didn’t quite get that. Could you please rephrase?",You're welcome! Have a great day!,-1,True
6,1,what's your refund policy?,"Sure, I can help you cancel your order.","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
6,2,sup bot,"Yes, we offer a 30-day refund policy for eligible returns.","I'm just a bot, but I’m here to help you!",-1,False
6,3,hi,"Sure, I can help you cancel your order.",Hello! How can I help you today?,-1,True
7,1,play music,You can reset your password using the link we sent to your email.,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
7,2,business hours?,I'm sorry to hear that. Let me check the tracking info for you.,"Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
7,3,when are you open?,"I'm just a bot, but I’m here to help you!","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,True
8,1,return an item,I'm sorry to hear that. Let me check the tracking info for you.,"Yes, we offer a 30-day refund policy for eligible returns.",-1,False
8,2,hey,"Yes, we offer a 30-day refund policy for eligible returns.",Hello! How can I help you today?,-1,False
8,3,how to cancel order,I'm sorry to hear that. Let me check the tracking info for you.,"Sure, I can help you cancel your order.",-1,True
9,1,business hours?,"Yes, we offer a 30-day refund policy for eligible returns.","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,False
9,2,stop my purchase,I'm sorry to hear that. Let me check the tracking info for you.,"Sure, I can help you cancel your order.",-1,False
9,3,business hours?,"Sorry, I didn’t quite get that. Could you please rephrase?","Our business hours are 9 AM to 5 PM, Monday to Friday.",-1,True
10,1,what's 2+2,"Yes, we offer a 30-day refund policy for eligible returns.","Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
10,2,return an item,"Sure, I can help you cancel your order.","Yes, we offer a 30-day refund policy for eligible returns.",-1,False
10,3,how to reset password?,"Sure, I can help you cancel your order.",You can reset your password using the link we sent to your email.,-1,True
11,1,see you,"Our business hours are 9 AM to 5 PM, Monday to Friday.",You're welcome! Have a great day!,-1,False
11,2,what's 2+2,You're welcome! Have a great day!,"Sorry, I didn’t quite get that. Could you please rephrase?",-1,False
11,3,play music,"Sorry, I didn’t quite get that. Could you please rephrase?","Sorry, I didn’t quite get that. Could you please rephrase?",1,True
12,1,see you,"I'm just a bot, but I’m here to help you!",You're welcome! Have a great day!,-1,False
12,2,what's up?,I'm sorry to hear that. Let me check the tracking info for you.,"I'm just a bot, but I’m here to help you!",-1,False
12,3,hey,"Our business hours are 9 AM to 5 PM, Monday to Friday.",Hello! How can I help you today?,-1,True
13,1,hello,"Sorry, I didn’t quite get that. Could you please rephrase?",Hello! How can I help you today?,-1,False
13,2,forgot my password,Hello! How can I help you today?,You can reset your password using the link we sent to your email.,-1,False
